datetime,close,open,high,low,volume,
"Nov 24, 2020",41.43,41.47,41.63,41.3,224.50K,
"Nov 23, 2020",41.5,41.67,41.67,41.37,170.20K,
"Nov 20, 2020",41.4,41.67,41.67,41.33,139.94K,
"Nov 19, 2020",41.4,41.5,41.67,41.3,179.80K,
"Nov 18, 2020",41.47,41.67,41.7,41.2,330.17K,
"Nov 17, 2020",41.67,41.33,41.73,41.2,364.87K,
"Nov 16, 2020",41.33,42,42.27,41.33,1.46M,
"Nov 13, 2020",41.83,41.33,42.13,41.3,5.18M,
"Nov 12, 2020",41.47,41.67,41.77,41.17,1.76M,
"Nov 11, 2020",42.67,42.67,43.33,42.5,1.43M,
"Nov 10, 2020",42.47,41.7,42.63,41.67,1.34M,
"Nov 09, 2020",41.5,41.67,41.9,41.3,1.02M,
"Nov 06, 2020",41.5,41,41.67,40.83,721.35K,
"Nov 05, 2020",40.9,40.87,41.03,40.6,1.13M,
"Nov 04, 2020",40.67,40.43,40.83,40.43,691.71K,
"Nov 03, 2020",40.33,40.63,40.63,40,249.02K,
"Nov 02, 2020",40.07,40,40.63,39.67,584.41K,
"Oct 29, 2020",40.63,40.07,40.67,40,109.40K,
"Oct 28, 2020",40.3,40.5,40.8,39.67,495.93K,
"Oct 27, 2020",40.3,40.8,40.8,40.2,368.60K,
"Oct 26, 2020",40.33,40.37,40.67,40,478.69K,
"Oct 23, 2020",41,41,41.67,40.87,363.80K,
"Oct 22, 2020",40.5,40,41.33,39.63,1.95M,
"Oct 21, 2020",41.03,41.67,41.83,40.53,1.58M,
"Oct 20, 2020",41.8,41.5,42,41.33,1.86M,
"Oct 19, 2020",41.53,41.5,41.83,41.33,1.08M,
"Oct 16, 2020",41.3,41.5,41.67,41.23,1.09M,
"Oct 15, 2020",41.5,41.57,42.17,41.2,1.09M,
"Oct 14, 2020",41.5,40.73,42.17,40.33,1.09M,
"Oct 13, 2020",40.67,41.33,41.67,40.6,1.84M,
"Oct 12, 2020",41.33,41.67,42.3,41.2,479.33K,
"Oct 09, 2020",41.6,41,42.33,41,782.95K,
"Oct 08, 2020",40.73,40,40.9,40,1.87M,
"Oct 07, 2020",39.67,40.2,40.87,39.63,2.17M,
"Oct 06, 2020",40.47,40.33,41.63,39.3,2.11M,
"Oct 05, 2020",40.93,42.3,42.3,39,3.09M,
"Oct 02, 2020",43.67,44,44.33,43,1.40M,
"Sep 30, 2020",44,44.33,44.33,43.1,2.60M,
"Sep 29, 2020",44.83,45.2,45.2,44.63,2.69M,
"Sep 28, 2020",45.03,45,45.17,44.7,937.69K,
"Sep 25, 2020",44.93,44.73,45,44.7,992.99K,
"Sep 24, 2020",44.97,45,45.27,44.77,1.13M,
